URL,Test,Dataset,Variable,Git Hash,Start Time,Response Time (s),Profile File Path
10.45.20.125:8443,profile,giops_day,votemper,,2023.12.15_15.56.31,1.5696,
10.45.20.125:8443,profile,giops_day,vosaline,,2023.12.15_15.56.33,1.5463,
10.45.20.125:8443,profile,giops_day,sspeed,,2023.12.15_15.56.36,1.7889,
10.45.20.125:8443,profile,giops_day,magwatervel,,2023.12.15_15.56.39,1.8852,
10.45.20.125:8443,profile,riops_fc_3dps,votemper,,2023.12.15_15.56.42,2.3984,
10.45.20.125:8443,profile,riops_fc_3dps,vosaline,,2023.12.15_15.56.45,2.6631,
10.45.20.125:8443,profile,riops_fc_3dps,sspeed,,2023.12.15_15.56.49,3.0217,
10.45.20.125:8443,profile,riops_fc_3dps,magwatervel,,2023.12.15_15.56.53,3.4062,
10.45.20.125:8443,virtual mooring,giops_day,votemper,,2023.12.15_15.56.58,1.6776,
10.45.20.125:8443,virtual mooring,giops_day,vosaline,,2023.12.15_15.57.00,1.6919,
10.45.20.125:8443,virtual mooring,giops_day,sspeed,,2023.12.15_15.57.03,2.2493,
10.45.20.125:8443,virtual mooring,giops_day,magwatervel,,2023.12.15_15.57.06,3.2987,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,votemper,,2023.12.15_15.57.11,4.5333,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,vosaline,,2023.12.15_15.57.16,4.2185,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,sspeed,,2023.12.15_15.57.22,7.5578,
10.45.20.125:8443,virtual mooring,riops_fc_3dps,magwatervel,,2023.12.15_15.57.30,9.8872,
10.45.20.125:8443,transect,giops_day,votemper,,2023.12.15_15.57.41,8.5598,
10.45.20.125:8443,transect,giops_day,vosaline,,2023.12.15_15.57.51,8.3652,
10.45.20.125:8443,transect,giops_day,sspeed,,2023.12.15_15.58.00,8.6665,
10.45.20.125:8443,transect,giops_day,magwatervel,,2023.12.15_15.58.10,8.9530,
10.45.20.125:8443,transect,riops_fc_3dps,votemper,,2023.12.15_15.58.20,10.3258,
10.45.20.125:8443,transect,riops_fc_3dps,vosaline,,2023.12.15_15.58.31,10.1241,
10.45.20.125:8443,transect,riops_fc_3dps,sspeed,,2023.12.15_15.58.43,11.4249,
10.45.20.125:8443,transect,riops_fc_3dps,magwatervel,,2023.12.15_15.58.55,11.9423,
10.45.20.125:8443,hovmoller,giops_day,votemper,,2023.12.15_15.59.08,6.4697,
10.45.20.125:8443,hovmoller,giops_day,vosaline,,2023.12.15_15.59.16,6.4581,
10.45.20.125:8443,hovmoller,giops_day,sspeed,,2023.12.15_15.59.23,7.7413,
10.45.20.125:8443,hovmoller,giops_day,magwatervel,,2023.12.15_15.59.32,8.0292,
10.45.20.125:8443,hovmoller,riops_fc_3dps,votemper,,2023.12.15_15.59.41,10.2353,
10.45.20.125:8443,hovmoller,riops_fc_3dps,vosaline,,2023.12.15_15.59.52,10.0497,
10.45.20.125:8443,hovmoller,riops_fc_3dps,sspeed,,2023.12.15_16.00.04,13.9248,
10.45.20.125:8443,hovmoller,riops_fc_3dps,magwatervel,,2023.12.15_16.00.19,16.6428,
10.45.20.125:8443,area,giops_day,votemper,,2023.12.15_16.00.36,4.6028,
10.45.20.125:8443,area,giops_day,vosaline,,2023.12.15_16.00.42,4.6546,
10.45.20.125:8443,area,giops_day,sspeed,,2023.12.15_16.00.48,4.5799,
10.45.20.125:8443,area,giops_day,magwatervel,,2023.12.15_16.00.53,4.4734,
10.45.20.125:8443,area,giops_day,psubsurfacechannel,,2023.12.15_16.01.00,nan,
10.45.20.125:8443,area,riops_fc_3dps,votemper,,2023.12.15_16.01.02,8.7853,
10.45.20.125:8443,area,riops_fc_3dps,vosaline,,2023.12.15_16.01.12,8.8141,
10.45.20.125:8443,area,riops_fc_3dps,sspeed,,2023.12.15_16.01.22,9.5143,
10.45.20.125:8443,area,riops_fc_3dps,magwatervel,,2023.12.15_16.01.33,8.2586,
10.45.20.125:8443,subset,giops_day,votemper,,2023.12.15_16.01.42,0.8586,
10.45.20.125:8443,subset,riops_fc_3dps,votemper,,2023.12.15_16.01.45,1.8968,
10.45.20.125:8443,observation,[10939390],,,2023.12.15_16.01.53,nan,
10.45.20.125:8443,observation,[8847572],,,2023.12.15_16.02.02,nan,
10.45.20.125:8443,observation,[8848734],,,2023.12.15_16.02.12,nan,
10.45.20.125:8443,observation,[8847355],,,2023.12.15_16.02.21,nan,
10.45.20.125:8443,observation,[10939940],,,2023.12.15_16.02.31,nan,
10.45.20.125:8443,class4,class4_20210101_GIOPS_CONCEPTS_3.0_profile_624,,,2023.12.15_16.02.34,1.9464,
10.45.20.125:8443,class4,class4_20210102_GIOPS_CONCEPTS_3.0_profile_247,,,2023.12.15_16.02.36,1.6085,
10.45.20.125:8443,class4,class4_20210103_GIOPS_CONCEPTS_3.0_profile_129,,,2023.12.15_16.02.37,1.5944,
10.45.20.125:8443,class4,class4_20210104_GIOPS_CONCEPTS_3.0_profile_211,,,2023.12.15_16.02.39,1.4941,
10.45.20.125:8443,class4,class4_20210107_GIOPS_CONCEPTS_3.0_profile_232,,,2023.12.15_16.02.40,1.4877,
