,Version,Test,Dataset,Variable,Response Time (s)
0,3.10.5,profile,giops_day,votemper,1.6508
1,3.10.5,profile,giops_day,vosaline,2.0018
2,3.10.5,profile,giops_day,sspeed,1.7869
3,3.10.5,profile,giops_day,magwatervel,1.9113
4,3.10.5,profile,riops_fc_3dps,votemper,2.4039
5,3.10.5,profile,riops_fc_3dps,vosaline,2.4478
6,3.10.5,profile,riops_fc_3dps,sspeed,2.9909
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.3292
8,3.10.5,virtual mooring,giops_day,votemper,1.6788
9,3.10.5,virtual mooring,giops_day,vosaline,1.6261
10,3.10.5,virtual mooring,giops_day,sspeed,2.1136
11,3.10.5,virtual mooring,giops_day,magwatervel,3.0138
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,4.737
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,4.2093
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,7.8212
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,9.8955
16,3.10.5,transect,giops_day,votemper,8.854
17,3.10.5,transect,giops_day,vosaline,8.4488
18,3.10.5,transect,giops_day,sspeed,8.6005
19,3.10.5,transect,giops_day,magwatervel,8.8879
20,3.10.5,transect,riops_fc_3dps,votemper,9.9782
21,3.10.5,transect,riops_fc_3dps,vosaline,9.7113
22,3.10.5,transect,riops_fc_3dps,sspeed,11.0694
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.5236
24,3.10.5,hovmoller,giops_day,votemper,6.2039
25,3.10.5,hovmoller,giops_day,vosaline,6.2077
26,3.10.5,hovmoller,giops_day,sspeed,6.9264
27,3.10.5,hovmoller,giops_day,magwatervel,7.1152
28,3.10.5,hovmoller,riops_fc_3dps,votemper,10.1782
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,9.5217
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,14.8998
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,16.3561
32,3.10.5,area,giops_day,votemper,4.3064
33,3.10.5,area,giops_day,vosaline,4.3122
34,3.10.5,area,giops_day,sspeed,4.0864
35,3.10.5,area,giops_day,magwatervel,4.2218
37,3.10.5,area,riops_fc_3dps,votemper,8.1284
38,3.10.5,area,riops_fc_3dps,vosaline,8.3153
39,3.10.5,area,riops_fc_3dps,sspeed,8.5658
40,3.10.5,area,riops_fc_3dps,magwatervel,7.6313
41,3.10.5,subset,giops_day,votemper,0.7073
42,3.10.5,subset,riops_fc_3dps,votemper,1.9774
0,3.10.5,profile,giops_day,votemper,1.6126
1,3.10.5,profile,giops_day,vosaline,1.5786
2,3.10.5,profile,giops_day,sspeed,1.766
3,3.10.5,profile,giops_day,magwatervel,2.4014
4,3.10.5,profile,riops_fc_3dps,votemper,2.6334
5,3.10.5,profile,riops_fc_3dps,vosaline,2.9677
6,3.10.5,profile,riops_fc_3dps,sspeed,3.5065
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.634
8,3.10.5,virtual mooring,giops_day,votemper,1.7627
9,3.10.5,virtual mooring,giops_day,vosaline,1.7583
10,3.10.5,virtual mooring,giops_day,sspeed,2.2069
11,3.10.5,virtual mooring,giops_day,magwatervel,3.1201
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,5.8242
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,5.2475
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,8.7973
